model,quality,bpp,PSNR,FID,LPIPS,DISTS
dc_vic_oasis,0,0.05660463787778565,25.875878475920217,13.47096981325575,0.11091162679716944,0.08561085760593415
dc_vic_oasis,1,0.08757840238121474,27.079434730014068,9.739633847161372,0.08430688029155135,0.06650724351406097
dc_vic_oasis,2,0.11753103871393006,27.762356268072903,7.8759182443248505,0.0716411267966032,0.05627386093139648
dc_vic_oasis,3,0.150740795972305,28.608995442318914,7.017672686863136,0.0607924223318696,0.050331059694290164
dc_vic_oasis,4,0.18388603105484286,29.34009922278926,6.392699519492908,0.05255772950127721,0.04619061648845672
dc_vic_patchgan,0,0.05660463787778565,25.81480958162616,13.693036392317822,0.11298486307263374,0.08778268277645111
dc_vic_patchgan,1,0.08757840238121474,26.9995595163353,10.234893943611837,0.08589800117537379,0.06858571887016296
dc_vic_patchgan,2,0.11753103871393006,27.674124040438013,8.390776997989178,0.07314175209030509,0.05803060531616211
dc_vic_patchgan,3,0.150740795972305,28.493708109431022,7.461235284599354,0.06211616599932313,0.05164856493473053
dc_vic_patchgan,4,0.18388603105484286,29.201236177479565,6.772261438584849,0.053899406911805274,0.04673276662826538
