model,quality,bpp,PSNR,LPIPS,DISTS
dc_vic_oasis,0,0.053731282552083336,25.135690242674784,0.12901702399055162,0.12050402412811916
dc_vic_oasis,1,0.08600192599826388,26.317773488485447,0.09614424593746662,0.09580785781145096
dc_vic_oasis,2,0.11638726128472221,26.977737929182798,0.0811873486575981,0.08295295884211858
dc_vic_oasis,3,0.15065850151909724,27.800267103365925,0.0678745078233381,0.07470160226027171
dc_vic_oasis,4,0.18884955512152776,28.571466263692468,0.05824251705780625,0.06865226477384567
dc_vic_patchgan,0,0.053731282552083336,25.076606303866743,0.13162851768235365,0.12463598450024922
dc_vic_patchgan,1,0.08600192599826388,26.233310697176904,0.09766241830463211,0.09902269393205643
dc_vic_patchgan,2,0.11638726128472221,26.88807866506433,0.08273151221995552,0.08518116176128387
dc_vic_patchgan,3,0.15065850151909724,27.681629824906704,0.06923232988143961,0.07502923409144084
dc_vic_patchgan,4,0.18884955512152776,28.416844583819927,0.059711265843361616,0.06885760774215062
